Opsin,Length
Gammarus_lacustris_GERD01030010.1,399
Garjajewia_dershawini_GEQD01045745.1,255
Garjajewia_dershawini_GEQD01025029.1,424
Gmelinoides_fasciatus_GEQE01022009.1,232
Gmelinoides_fasciatus_GEQE01041361.1,387
Heterogammarus_sophianosii_GEPR01040762.1,387
Heterogammarus_sophianosii_GEPR01039945.1,382
_GEPR01069304.1,231
Heterogammarus_sophianosii_GEPR01040761.1,390
Heterogammarus_sophianosii_GEPR01041192.1,762
Heterogammarus_sophianosii_GEPR01031204.1,455
Heterogammarus_sophianosii_GEPR01058891.1,399
Homalogammarus_brandtii_GERE01028233.1,387
Homalogammarus_brandtii_GERE01028232.1,390
Hyalellopsis_carinata_GEQF01053706.1,297
Hyalellopsis_carinata_GEQF01053705.1,387
Hyalellopsis_carinata_GEQF01053707.1,390
Hyalellopsis_costata_GEQG01023466.1,184
Hyalellopsis_costata_GEQG01067292.1,390
Hyalellopsis_grisea_GEQH01019219.1,245
Hyalellopsis_setosa_GEQI01039901.1,173
Hyalellopsis_setosa_GEQI01057943.1,422
Hyalellopsis_stebbingi_GEQJ01069300.1,186
Hyalellopsis_stebbingi_GEQJ01069301.1,384
Hyalellopsis_stebbingi_GEQJ01069299.1,386
Linevichella_vortex_GERH01042015.1,386
Linevichella_vortex_GERH01042016.1,388
Linevichella_vortex_GERH01042014.1,421
Macropereiopus_parvus_GEQM01041538.1,390
Macropereiopus_parvus_GEQM01076231.1,189
Macropereiopus_parvus_GEQM01014043.1,399
Macropereiopus_parvus_GEQM01037392.1,452
Macropereiopus_parvus_GEQM01019308.1,400
Macropereiopus_wagneri_GEQL01033621.1,385
Micruropus_glaber_GEQN01031812.1,387
Micruropus_glaber_GEQN01031811.1,399
Micruropus_parvulus_GEQO01065216.1,412
Micruropus_wahlii_GEQP01079729.1,129
Micruropus_wahlii_GEQP01029276.1,70
Micruropus_wahlii_GEQP01014934.1,302
Micruropus_wahlii_GEQP01100828.1,228
Odontogammarus_calcaratus_GEQQ01017553.1,215
Odontogammarus_calcaratus_GEQQ01017554.1,166
Odontogammarus_calcaratus_GEQQ01000260.1,390
Odontogammarus_calcaratus_GEQQ01024636.1,371
Ommatogammarus_albinus_GEQR01036667.1,279
Ommatogammarus_albinus_GEQR01096765.1,82
Ommatogammarus_albinus_GEQR01031230.1,447
Ommatogammarus_albinus_GEQR01020568.1,368
Ommatogammarus_flavus_GEQS01005012.1,144
Ommatogammarus_flavus_GEQS01013086.1,154
Ommatogammarus_flavus_GEQS01077035.1,96
Ommatogammarus_flavus_GEQS01077355.1,113
Ommatogammarus_flavus_GEQS01036489.1,459
Ommatogammarus_flavus_GEQS01030792.1,556
Ommatogammarus_flavus_GEQS01002502.1,390
Ommatogammarus_flavus_GEQS01051391.1,399
Oxyacanthus_curtus_GEPA01012440.1,227
Oxyacanthus_curtus_GEPA01024636.1,387
Oxyacanthus_curtus_GEPA01024637.1,390
Oxyacanthus_flavus_GEPB01040203.1,422
Oxyacanthus_flavus_GEPB01066476.1,379
Oxyacanthus_flavus_GEPB01004569.1,334
Oxyacanthus_flavus_GEPB01031289.1,778
Oxyacanthus_flavus_GEPB01031288.1,506
Oxyacanthus_flavus_GEPB01034368.1,501
Oxyacanthus_sowinskii_GEPC01023585.1,182
Oxyacanthus_sowinskii_GEPC01014288.1,390
Pachyschesis_branchialis2_GEQU01009944.1,390
Pachyschesis_branchialis_GEQT01011213.1,325
Pachyschesis_branchialis_GEQT01014369.1,291
Pachyschesis_branchialis_GEQT01024671.1,258
Pachyschesis_branchialis_GEQT01026375.1,399
Pachyschesis_branchialis_GEQT01030549.1,390
Pachyschesis_branchialis_GEQT01011103.1,365
Palicarinus_puzyllii_GEQW01063126.1,163
Palicarinus_puzyllii_GEQW01018017.1,257
Palicarinus_puzyllii_GEQW01019758.1,390
Pallasea_cancelloides2_GERF01018113.1,382
Pallasea_cancelloides2_GERF01018112.1,386
Pallasea_cancelloides_GEQX01031118.1,387
Pallasea_cancelloides_GEQX01031117.1,402
Pallasea_cancellus_GERI01024830.1,390
Pallasea_cancellus_GERI01033426.1,173
Pallasea_cancellus_GERI01024568.1,1104
Pallasea_cancellus_GERI01038190.1,603
Pallasea_grubei_GERJ01041227.1,385
Pallasea_grubei_GERJ01041226.1,400
Pallasea_grubei_GERJ01041225.1,403
Pallasea_sp_GEQZ01025512.1,253
Pallasea_sp_GEQZ01055333.1,114
Pallasea_sp_GEQZ01040968.1,390
Pallasea_sp_GEQZ01040969.1,387
Parapallasea_borowskii_GERK01035488.1,300
Parapallasea_borowskii_GERK01006336.1,390
Parapallasea_wosnessenskii_GERB01002792.1,390
Pentagonurus_dawydowi_GEQV01070474.1,82
Pentagonurus_dawydowi_GEQV01055982.1,1127
Poekilogammarus_pictoides_GERL01009952.1,157
Poekilogammarus_pictoides_GERL01055781.1,339
Poekilogammarus_pictoides_GERL01055782.1,415
Sluginella_kietlinskii_GEPP01007406.1,79
