Species,Complete_BUSCOs,Single_BUSCOs,Duplicated_BUSCOs,Fragmented_BUSCOs,Missing_BUSCOs,Assembler
Hyalella_azteca,36.9,30.5,6.4,30.8,32.3,Trinity
Hyalellopsis_carinata,65,50.4,14.6,16.4,18.6,Trinity
Hyalellopsis_costata,59.2,42.3,16.9,20.7,20.1,Trinity
Hyalellopsis_grisea,64.4,49.2,15.2,16.3,19.3,Trinity
Hyalellopsis_setosa,70.2,52.6,17.6,15.2,14.6,Trinity
Hyalellopsis_stebbingi,59.8,41.3,18.5,18.1,22.1,Trinity
Linevichella_vortex,72.7,50.4,22.3,11.1,16.2,Trinity
Macrohectopus_branickii,45.3,36.1,9.2,18.4,36.3,Trinity
Macropereiopus_parvus,72.3,54.9,17.4,12.9,14.8,Trinity
Macropereiopus_wagneri,31.6,26.8,4.8,18,50.4,Trinity
Marinogammarus_marinus,85.7,56,29.7,8.8,5.5,Trinity
Micruropus_glaber,64.3,51.1,13.2,15.1,20.6,Trinity
Micruropus_parvulus,49.7,38,11.7,26.6,23.7,Trinity
Micruropus_wahlii,87.6,47.9,39.7,7.2,5.2,Trinity
Odontogammarus_calcaratus,62.5,46.6,15.9,16.6,20.9,Trinity
Ommatogammarus_albinus,77.9,57.1,20.8,9.8,12.3,Trinity
Ommatogammarus_flavus,72,55.4,16.6,11.5,16.5,Trinity
Oxyacanthus_curtus,54.3,45.7,8.6,21.2,24.5,Trinity
Oxyacanthus_flavus,72.7,56.3,16.4,11.3,16,Trinity
Oxyacanthus_sowinskii,59.2,49.4,9.8,18.6,22.2,Trinity
Pachyschesis_branchialis,74,57.4,16.6,10.4,15.6,Trinity
Palicarinus_puzyllii,70.9,54.4,16.5,12.3,16.8,Trinity
Pallasea_cancelloides,34.9,28.4,6.5,20.8,44.3,Trinity
Pallasea_cancellus,64.6,48.9,15.7,14.3,21.1,Trinity
Pallasea_grubei,60.1,48,12.1,17.6,22.3,Trinity
Pallasea_sp._gam7.3,67.8,50.8,17,13.1,19.1,Trinity
Pallaseopsis_kessleri,50.7,42.9,7.8,20.3,29,Trinity
Pandorites_podoceroides,51,43.2,7.8,20.7,28.3,Trinity
Parapallasea_borowskii,58.8,42,16.8,17.6,23.6,Trinity
Parapallasea_wosnessenskii,68.6,53.5,15.1,14.9,16.5,Trinity
Parhyale_hawaiensis,91,81,10,5.1,3.9,Trinity
Pentagonurus_dawydowi,64.7,48.1,16.6,14.2,21.1,Trinity
Poekilogammarus_pictoides,65.8,50.5,15.3,16.4,17.8,Trinity
Sluginella_kietlinskii,24.7,22.1,2.6,12.7,62.6,Trinity
Talitrus_saltator,92.5,62.9,29.6,4.4,3.1,Trinity
Acanthogammarus_godlewskii,41,30.1,10.9,24.4,34.6,Trinity285
Asprogammarus_rhodophthalmus,62,36.1,25.9,22,16,Trinity285
Baikalogammarus_pullus,66.8,27.5,39.3,14.2,19,Trinity285
Boeckaxelia_carpenterii,68.6,47.4,21.2,15.1,16.3,Trinity285
Boeckaxelia_potanini,57.2,47.8,9.4,15.9,26.9,Trinity285
Brachyuropus_grewingkii,73,49.1,23.9,14.6,12.4,Trinity285
Brandtia_latissima,50.9,43.2,7.7,23.1,26,Trinity285
Caprella_sp,79.8,46.2,33.6,15.8,4.4,Trinity285
Carinurus_bicarinatus,61.1,39.7,21.4,15.4,23.5,Trinity285
Cornugammarus_maximus,60.3,49.4,10.9,18.8,20.9,Trinity285
Crypturopus_inflatus,40.1,29.5,10.6,24.2,35.7,Trinity285
Dorogostaiskia_parasitica,53.2,40.1,13.1,18.2,28.6,Trinity285
Echiuropus_macronychus,64.6,35.5,29.1,12.7,22.7,Trinity285
Eucarinogammarus_wagii,65.4,24.5,40.9,20.8,13.8,Trinity285
Eulimnogammarus_cruentus,75.1,54,21.1,16.3,8.6,Trinity285
Eulimnogammarus_cruentus_2,83.4,54.1,29.3,10.6,6,Trinity285
Eulimnogammarus_cyaneus,73,46.1,26.9,12.5,14.5,Trinity285
Eulimnogammarus_czerskii,76,53.8,22.2,13.3,10.7,Trinity285
Eulimnogammarus_marituji,70.6,48,22.6,13,16.4,Trinity285
Eulimnogammarus_messerschmidtii,65.2,38.7,26.5,13.7,21.1,Trinity285
Eulimnogammarus_similis,78.9,52.4,26.5,13.1,8,Trinity285
Eulimnogammarus_sp._gam16.4,38.8,31.3,7.5,18,43.2,Trinity285
Eulimnogammarus_sp._gam2quest,81.1,50.1,31,11,7.9,Trinity285
Eulimnogammarus_testaceus,77.3,47.8,29.5,13.4,9.3,Trinity285
Eulimnogammarus_ussolzewii,69.8,47.8,22,14.3,15.9,Trinity285
Eulimnogammarus_verrucosus,83.5,49.4,34.1,10.5,6,Trinity285
Eulimnogammarus_violaceus,68.4,47.7,20.7,17.4,14.2,Trinity285
Eulimnogammarus_viridulus,77.6,50.8,26.8,14.4,8,Trinity285
Eulimnogammarus_vittatus,67.2,45.6,21.6,13.9,18.9,Trinity285
Gammarus_lacustris,52.2,42.4,9.8,19.3,28.5,Trinity285
Gammarus_minus,96.2,50.9,45.3,1.5,2.3,Trinity285
Gammarus_pisinnus,76.9,39.2,37.7,15.9,7.2,Trinity285
Garjajewia_dershawini,61.3,47.8,13.5,17,21.7,Trinity285
Gmelinoides_fasciatus,78.1,35.2,42.9,12.7,9.2,Trinity285
Heterogammarus_sophianosii,83,57.3,25.7,9,8,Trinity285
Homalogammarus_brandtii,53.1,40.5,12.6,15.6,31.3,Trinity285
Hyalella_azteca,72.9,40.4,32.5,19.9,7.2,Trinity285
Hyalellopsis_carinata,73.7,53.8,19.9,13.6,12.7,Trinity285
Hyalellopsis_costata,66,48.9,17.1,18.1,15.9,Trinity285
Hyalellopsis_grisea,71.6,51.3,20.3,14.9,13.5,Trinity285
Hyalellopsis_setosa,64.4,50.7,13.7,18.8,16.8,Trinity285
Hyalellopsis_stebbingi,70.3,43.2,27.1,14.5,15.2,Trinity285
Linevichella_vortex,83.7,32.4,51.3,8.9,7.4,Trinity285
Macrohectopus_branickii,53.8,32.6,21.2,18.3,27.9,Trinity285
Macropereiopus_parvus,85.2,53.9,31.3,9.8,5,Trinity285
Macropereiopus_wagneri,37.6,28,9.6,17.1,45.3,Trinity285
Micruropus_glaber,74.3,53.2,21.1,14,11.7,Trinity285
Micruropus_parvulus,60.2,34.3,25.9,24.8,15,Trinity285
Micruropus_wahlii,93,30.1,62.9,4.8,2.2,Trinity285
Odontogammarus_calcaratus,75.3,50,25.3,14.4,10.3,Trinity285
Ommatogammarus_albinus,87.3,51.9,35.4,7.6,5.1,Trinity285
Ommatogammarus_flavus,81.8,54.1,27.7,10.6,7.6,Trinity285
Oxyacanthus_curtus,62.1,49.3,12.8,21.3,16.6,Trinity285
Oxyacanthus_flavus,83.4,57.4,26,9.1,7.5,Trinity285
Oxyacanthus_sowinskii,69.1,50.9,18.2,18.4,12.5,Trinity285
Pachyschesis_branchialis,87.4,63.1,24.3,8.2,4.4,Trinity285
Pachyschesis_branchialis_2,38,30.4,7.6,11.9,50.1,Trinity285
Palicarinus_puzyllii,83.3,57.9,25.4,9.7,7,Trinity285
Pallasea_cancelloides,47.9,27.3,20.6,19.1,33,Trinity285
Pallasea_cancelloides_2,64.8,48.7,16.1,13,22.2,Trinity285
Pallasea_cancellus,74.2,47.6,26.6,12.9,12.9,Trinity285
Pallasea_grubei,72.3,48.8,23.5,15.7,12,Trinity285
Pallasea_sp._gam7.3,75,52,23,12.6,12.4,Trinity285
Pallaseopsis_kessleri,57.6,45.3,12.3,19.9,22.5,Trinity285
Pandorites_podoceroides,58.8,41.5,17.3,21.4,19.8,Trinity285
Parapallasea_borowskii,69.3,42.8,26.5,15.7,15,Trinity285
Parapallasea_wosnessenskii,79.2,53.4,25.8,11.4,9.4,Trinity285
Pentagonurus_dawydowi,75.3,46.1,29.2,12.9,11.8,Trinity285
Poekilogammarus_pictoides,75.7,45.4,30.3,14.1,10.2,Trinity285
Sluginella_kietlinskii,28.9,24.6,4.3,13,58.1,Trinity285
